Country,squad_total_market_value,squad_avg_market_value,squad_total_injuries,squad_total_wc_goals,squad_avg_wc_goals,squad_total_wc_assists,squad_total_allcomps_goals,squad_total_allcomps_assists,group_rank,group_matches_played,group_wins,group_draws,group_losses,group_goals_for,group_goals_against,group_goals_difference,group_points,group_last_5_form,group_notes,squad_avg_age,squad_median_age,squad_total_caps,squad_avg_caps,squad_injury_burden,squad_depth_DF,squad_depth_FW,squad_depth_GK,squad_depth_MF,squad_top_league_ratio,squad_avg_impact_score
Japan,270850000.0,10417307.692307692,169,0.0,,0.0,74.0,62.0,,,,,,,,,,,,27.749042307692307,27.43535,418.0,16.076923076923077,1030.0,10.0,11.0,3.0,2.0,0.46153846153846156,1.4349569523318726
Jordan,7275000.0,404166.6666666667,33,0.0,,0.0,50.0,32.0,,,,,,,,,,,,28.444326923076922,28.87235,468.0,18.0,194.0,9.0,6.0,3.0,8.0,0.038461538461538464,-1.212773218028419
Korea Republic,10000000.0,10000000.0,37,2.0,0.0769230769230769,2.0,82.0,58.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,L L W W W,,28.121040740740742,28.6543,504.0,18.666666666666668,18.0,8.0,9.0,3.0,7.0,0.18518518518518517,0.6057773302360964
Mexico,191850000.0,7378846.153846154,103,2.0,0.0769230769230769,2.0,18.0,10.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,D W W W W,,27.90078076923077,28.52155,204.0,7.846153846153846,1011.0,8.0,7.0,3.0,8.0,0.23076923076923078,0.7773611576893303
Morocco,499200000.0,19200000.0,172,1.0,0.0416666666666666,1.0,46.0,34.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,D W W D D,,26.39461153846154,25.756,324.0,12.461538461538462,914.0,10.0,4.0,3.0,9.0,0.6153846153846154,0.18598723434424158
Netherlands,804200000.0,30930769.230769232,274,0.0,,0.0,58.0,38.0,,,,,,,,,,,,27.74013846153846,27.09855,328.0,12.615384615384615,1037.0,11.0,9.0,3.0,3.0,0.8461538461538461,-0.09623295703650778
New Zealand,31800000.0,1325000.0,100,0.0,,0.0,58.0,46.0,,,,,,,,,,,,28.117665384615385,27.1191,228.0,9.12,843.0,9.0,5.0,3.0,9.0,0.038461538461538464,-1.0530617936804183
Norway,589900000.0,22688461.53846154,179,0.0,,0.0,76.0,66.0,,,,,,,,,,,,26.803903846153847,26.954500000000003,390.0,15.0,604.0,12.0,7.0,3.0,4.0,0.6538461538461539,0.35165067912067627
Panama,27825000.0,1391250.0,84,0.0,,0.0,48.0,32.0,,,,,,,,,,,,30.435623076923076,29.8504,454.0,17.46153846153846,500.0,11.0,7.0,3.0,5.0,0.0,0.1830679737614081
Paraguay,142300000.0,5692000.0,136,1.0,0.0384615384615384,1.0,42.0,26.0,4.0,1.0,0.0,0.0,1.0,1.0,4.0,-3.0,0.0,W W L W L,,29.0332,29.67485,562.0,21.615384615384617,874.0,8.0,7.0,3.0,8.0,0.15384615384615385,-0.023616134335379783
Portugal,1002000000.0,40080000.0,228,0.0,,0.0,52.0,32.0,,,,,,,,,,,,28.035065384615386,26.8641,0.0,0.0,668.0,9.0,9.0,3.0,5.0,0.6538461538461539,0.7208244627012307
Qatar,26475000.0,1203409.0909090908,58,1.0,0.0384615384615384,1.0,52.0,42.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,29.507511538461536,29.59825,0.0,0.0,650.0,8.0,9.0,3.0,6.0,0.0,-0.9761513750474429
Qatar,26475000.0,1203409.0909090908,58,1.0,0.0384615384615384,1.0,52.0,42.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,D W L D D,,29.507511538461536,29.59825,0.0,0.0,650.0,8.0,9.0,3.0,6.0,0.0,-0.9761513750474429
Saudi Arabia,28275000.0,1488157.894736842,70,0.0,,0.0,44.0,22.0,,,,,,,,,,,,28.51784615384615,27.116,546.0,21.0,475.0,11.0,4.0,3.0,7.0,0.038461538461538464,-0.8793224156227032
Scotland,189750000.0,7027777.777777778,218,1.0,0.0384615384615384,0.0,42.0,26.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,L L W W W,,29.03477037037037,29.9117,352.0,13.037037037037036,970.0,11.0,6.0,3.0,7.0,0.4444444444444444,-0.08027179878631746
Senegal,478100000.0,18388461.53846154,163,0.0,,0.0,52.0,26.0,,,,,,,,,,,,27.087242307692307,26.6913,392.0,15.076923076923077,634.0,9.0,7.0,3.0,7.0,0.7692307692307693,0.011042112894870577
South Africa,49250000.0,1894230.7692307688,47,0.0,0.0,0.0,28.0,22.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,-2.0,0.0,L D L D L,,26.80726153846154,25.892850000000003,316.0,12.153846153846153,153.0,11.0,4.0,3.0,8.0,0.038461538461538464,-1.2220393197598953
Spain,1192800000.0,47712000.0,228,0.0,,0.0,52.0,36.0,,,,,,,,,,,,26.747146153846153,27.047600000000003,270.0,10.384615384615385,1253.0,9.0,8.0,3.0,6.0,1.0,0.7828646138769245
Sweden,416075000.0,15410185.185185185,162,0.0,,0.0,24.0,18.0,,,,,,,,,,,,27.502011111111113,27.6379,280.0,10.37037037037037,1032.0,9.0,8.0,3.0,7.0,0.5555555555555556,-1.3881898279429212
Switzerland,332500000.0,12788461.538461538,292,1.0,0.0384615384615384,0.0,44.0,34.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,L D W D D,,28.307250000000003,28.916150000000002,362.0,13.923076923076923,1015.0,9.0,6.0,3.0,8.0,0.8846153846153846,-0.37579880807014426
Tunisia,69400000.0,2776000.0,119,0.0,,0.0,22.0,16.0,,,,,,,,,,,,26.644653846153844,26.87645,286.0,11.0,415.0,11.0,7.0,3.0,5.0,0.2692307692307692,-0.49980715954303306
Türkiye,473700000.0,18219230.769230768,290,0.0,0.0,0.0,46.0,36.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,-2.0,0.0,,,27.672396153846154,27.5051,348.0,13.384615384615385,707.0,10.0,3.0,3.0,10.0,0.34615384615384615,0.2183837425156927
Türkiye,473700000.0,18219230.769230768,290,0.0,0.0,0.0,46.0,36.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,-2.0,0.0,W W W W L,,27.672396153846154,27.5051,348.0,13.384615384615385,707.0,10.0,3.0,3.0,10.0,0.34615384615384615,0.2183837425156927
USA,385650000.0,14832692.307692308,201,3.0,0.1153846153846153,3.0,16.0,14.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,3.0,L L W L W,,27.749042307692307,27.26005,0.0,13.423076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.020688371461995828
Uruguay,364800000.0,14030769.23076923,277,0.0,,0.0,42.0,34.0,,,,,,,,,,,,28.741980769230768,27.841900000000003,0.0,0.0,986.0,11.0,8.0,3.0,4.0,0.3076923076923077,-0.9010786122213115
Uzbekistan,73525000.0,3676250.0,52,0.0,,0.0,46.0,40.0,,,,,,,,,,,,28.51142692307692,28.95995,444.0,17.76,563.0,10.0,6.0,3.0,7.0,0.038461538461538464,-1.0160908838702212
