Country,Category,#,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls
Argentina,world_cup,22.0,Lautaro Martínez,FW,1.it Inter,"Bahía Blanca, Argentina",1997-08-22,28-293,,,
Argentina,world_cup,6.0,Lisandro Martínez,"DF,MF",1.eng Manchester Utd,"Gualeguay, Argentina",1998-01-18,28-144,,,
Argentina,world_cup,25.0,Facundo Medina,DF,1.fr Marseille,"Fiorito, Argentina",1999-05-28,27-014,,,
Argentina,world_cup,10.0,Lionel Messi,"FW,MF",1.us Inter Miami,"Rosario, Argentina",1987-06-24,38-352,,,
Argentina,world_cup,26.0,Nahuel Molina,"DF,MF",1.es Atlético Madrid,"Embalse, Argentina",1998-04-06,28-066,,,
Argentina,world_cup,4.0,Gonzalo Montiel,DF,1.ar River Plate,"González Catán, Argentina",1997-01-01,29-161,,,
Argentina,world_cup,1.0,Juan Musso,GK,1.es Atlético Madrid,"San Nicolás de los Arroyos, Argentina",1994-05-06,32-036,,,
Argentina,world_cup,19.0,Nicolás Otamendi,DF,1.pt Benfica,"Buenos Aires, Argentina",1988-02-12,38-119,,,
Argentina,world_cup,14.0,Exequiel Palacios,"DF,MF",1.de Leverkusen,"Famaillá, Argentina",1998-10-05,27-249,,,
Argentina,world_cup,5.0,Leandro Paredes,MF,1.ar Boca Juniors,"San Justo, Argentina",1994-06-29,31-347,,,
Argentina,world_cup,18.0,Nicolás Paz,MF,1.it Como,"Santa Cruz de Tenerife, Spain",2004-09-08,21-276,,,
Argentina,world_cup,13.0,Cristian Romero,DF,1.eng Tottenham Hotspur,"Córdoba, Argentina",1998-04-27,28-045,,,
Argentina,world_cup,12.0,Gerónimo Rulli,GK,1.fr Marseille,"La Plata, Argentina",1992-05-20,34-022,,,
Argentina,world_cup,17.0,Giuliano Simeone,"FW,MF",1.es Atlético Madrid,"Argentina, Argentina",2002-12-18,23-175,,,
Argentina,world_cup,3.0,Nicolás Tagliafico,DF,1.fr Lyon,"Buenos Aires, Argentina",1992-08-31,33-284,,,
Australia,world_cup,18.0,Patrick Beach,GK,1.au Melb City,"Sydney, Australia",2003-08-06,22-309,1.0,90.0,0.0
Australia,world_cup,16.0,Aziz Behich,"DF,MF",1.au Melb City,"Moonee Ponds, Australia",1990-12-16,35-177,1.0,7.0,0.0
Australia,world_cup,5.0,Jordy Bos,DF,1.nl Feyenoord,"Melbourne, Australia",2002-10-29,23-225,1.0,83.0,0.0
Australia,world_cup,21.0,Cameron Burgess,DF,2.eng Swansea City,"Aberdeen, Scotland, United Kingdom",1995-10-21,30-233,1.0,90.0,0.0
Australia,world_cup,3.0,Alessandro Circati,DF,1.it Parma,"Fidenza, Italy",2003-10-10,22-244,1.0,90.0,0.0
Australia,world_cup,2.0,Miloš Degenek,"DF,MF",1.cy APOEL FC,"Knin, Croatia",1994-04-28,32-044,0.0,,
Australia,world_cup,14.0,Cammy Devlin,MF,1.sct Hearts,"Sydney, Australia",1998-06-07,28-004,0.0,,
Australia,world_cup,6.0,Jason Geria,DF,2.jp Albirex Niigata,"Canberra, Australia",1993-05-10,33-032,1.0,17.0,0.0
Australia,world_cup,25.0,Lucas Herrington,DF,1.us Colorado Rapids,"Brisbane, Australia",2007-09-05,18-279,0.0,,
Australia,world_cup,10.0,Ajdin Hrustic,MF,1.nl Heracles Almelo,"Melbourne, Australia",1996-07-05,29-341,0.0,,
Australia,world_cup,17.0,Nestory Irankunda,MF,2.eng Watford,"Kibondo, Tanzania",2006-02-09,20-122,1.0,60.0,1.0
Australia,world_cup,22.0,Jackson Irvine,"DF,MF",1.de St Pauli,"Melbourne, Australia",1993-03-07,33-096,1.0,7.0,0.0
Australia,world_cup,4.0,Jacob Italiano,DF,1.at Grazer AK,"Perth, Australia",2001-07-30,24-316,1.0,73.0,0.0
Australia,world_cup,12.0,Paul Izzo,GK,1.dk Randers,"Adelaide, Australia",1995-01-06,31-156,0.0,,
Australia,world_cup,7.0,Mathew Leckie,"FW,MF",1.au Melb City,"Melbourne, Australia",1991-02-04,35-127,0.0,,
Australia,world_cup,11.0,Awer Mabil,"FW,MF",2.es Castellón,"Kakuma, Kenya",1995-09-15,30-269,0.0,,
Australia,world_cup,8.0,Connor Metcalfe,MF,1.de St Pauli,"Newcastle, Australia",1999-11-05,26-218,1.0,90.0,1.0
Australia,world_cup,13.0,Aiden O'Neill,MF,1.us NYCFC,"Brisbane, Australia",1998-07-04,27-342,1.0,90.0,0.0
Australia,world_cup,24.0,Paul Okon-Engstler,MF,1.au Sydney FC,"Gent, Belgium",2005-01-24,21-138,1.0,83.0,0.0
Australia,world_cup,1.0,Mathew Ryan,GK,1.es Levante,"Plumpton, Australia",1992-04-08,34-064,0.0,,
Australia,world_cup,19.0,Harry Souttar,DF,2.eng Leicester City,"Aberdeen, Scotland, United Kingdom",1998-10-22,27-232,1.0,90.0,0.0
Australia,world_cup,9.0,Mo Touré,FW,2.eng Norwich City,"Conakry, Guinea",2004-03-26,22-077,1.0,73.0,0.0
Australia,world_cup,15.0,Kai Trewin,"DF,MF",1.us NYCFC,"Batemans Bay, Australia",2001-05-18,25-024,0.0,,
Australia,world_cup,23.0,Nishan Velupillay,MF,1.au Melbourne Victory,"Melbourne, Australia",2001-05-07,25-035,1.0,30.0,0.0
Australia,world_cup,20.0,Cristian Volpato,MF,1.it Sassuolo,"Camperdown, Australia",2003-11-15,22-208,0.0,,
Australia,world_cup,26.0,Tete Yengi,FW,1.jp Machida Zelvia,"Adelaide, Australia",2000-11-28,25-195,1.0,17.0,0.0
Austria,world_cup,2.0,David Affengruber,DF,1.es Elche,"Scheibbs, Austria",2001-03-19,25-084,,,
Austria,world_cup,8.0,David Alaba,"DF,MF",1.es Real Madrid,Austria,1992-06-24,33-352,,,
Austria,world_cup,7.0,Marko Arnautović,"FW,MF",1.rs Red Star,Austria,1989-04-19,37-053,,,
Austria,world_cup,,Christoph Baumgartner,"FW,MF",1.de RB Leipzig,"Horn, Austria",1999-08-01,26-314,,,
Austria,world_cup,17.0,Carney Chukwuemeka,MF,1.de Dortmund,"Eisenstadt, Austria",2003-10-20,22-234,,,
Austria,world_cup,3.0,Kevin Danso,"DF,MF",1.eng Tottenham Hotspur,"Voitsberg, Austria",1998-09-19,27-265,,,
Austria,world_cup,23.0,Marco Friedl,DF,1.de Werder Bremen,"Kirchbichl, Austria",1998-03-16,28-087,,,
Austria,world_cup,11.0,Michael Gregoritsch,"FW,MF",1.de Augsburg,"Graz, Austria",1994-04-18,32-054,,,
Austria,world_cup,10.0,Florian Grillitsch,"DF,MF",1.pt Braga,"Neunkirchen, Austria",1995-08-07,30-308,,,
Austria,world_cup,14.0,Saša Kalajdžić,"FW,MF",1.at LASK,Austria,1997-07-07,28-339,,,
Austria,world_cup,20.0,Konrad Laimer,"DF,MF",1.de Bayern Munich,Austria,1997-05-27,29-015,,,
Austria,world_cup,15.0,Philipp Lienhart,DF,1.de Freiburg,"Lilienfeld, Austria",1996-07-11,29-335,,,
Austria,world_cup,16.0,Phillipp Mwene,"DF,MF",1.de Mainz 05,Austria,1994-01-29,32-133,,,
Austria,world_cup,13.0,Patrick Pentz,GK,1.dk Brøndby,Austria,1997-01-02,29-160,,,
Austria,world_cup,5.0,Stefan Posch,DF,1.de Mainz 05,"Judenburg, Austria",1997-05-14,29-028,,,
Austria,world_cup,22.0,Alexander Prass,"DF,MF",1.de Hoffenheim,"Hellmonsödt, Austria",2001-05-26,25-016,,,
Austria,world_cup,9.0,Marcel Sabitzer,"FW,MF",1.de Dortmund,"Graz, Austria",1994-03-17,32-086,,,
Austria,world_cup,1.0,Alexander Schlager,GK,1.at RB Salzburg,Austria,1996-02-01,30-130,,,
Austria,world_cup,4.0,Xaver Schlager,MF,1.de RB Leipzig,Austria,1997-09-28,28-256,,,
Austria,world_cup,18.0,Romano Schmid,"FW,MF",1.de Werder Bremen,"Graz, Austria",2000-01-27,26-135,,,
Austria,world_cup,26.0,Alessandro Schöpf,MF,1.at RZ Pellets WAC,"Umhausen, Austria",1994-02-07,32-124,,,
Austria,world_cup,6.0,Nicolas Seiwald,MF,1.de RB Leipzig,"Kuchl, Austria",2001-05-04,25-038,,,
Austria,world_cup,25.0,Michael Svoboda,DF,2.it Venezia,Austria,1998-10-15,27-239,,,
Austria,world_cup,24.0,Paul Wanner,MF,1.nl PSV,"Dornbirn, Austria",2005-12-23,20-170,,,
Austria,world_cup,12.0,Florian Wiegele,GK,1.cz Viktoria Plzeň,"Graz Stadt, Austria",2001-03-21,25-082,,,
Austria,world_cup,21.0,Patrick Wimmer,"FW,MF",1.de Wolfsburg,"Tulln, Austria",2001-05-30,25-012,,,
Belgium,world_cup,21.0,Timothy Castagne,"DF,MF",1.eng Fulham,"Arlon, Belgium",1995-12-05,30-188,,,
Belgium,world_cup,1.0,Thibaut Courtois,GK,1.es Real Madrid,"Bree, Belgium",1992-05-11,34-031,,,
Belgium,world_cup,7.0,Kevin De Bruyne,"FW,MF",1.it Napoli,"Gent, Belgium",1991-06-28,34-348,,,
Belgium,world_cup,5.0,Maxim De Cuyper,"DF,MF",1.eng Brighton,"Knokke-Heist, Belgium",2000-12-22,25-171,,,
Belgium,world_cup,17.0,Charles De Ketelaere,"FW,MF",1.it Atalanta,"Brugge, Belgium",2001-03-10,25-093,,,
Belgium,world_cup,16.0,Koni De Winter,DF,1.it Milan,"Antwerpen, Belgium",2002-06-12,23-364,,,
Belgium,world_cup,2.0,Zeno Debast,DF,1.pt Sporting CP,"Halle, Belgium",2003-10-24,22-230,,,
Belgium,world_cup,11.0,Jeremy Doku,"FW,MF",1.eng Manchester City,"Antwerpen, Belgium",2002-05-27,24-015,,,
Belgium,world_cup,26.0,Matias Fernandez-Pardo,"FW,MF",1.fr Lille,"Brussels, Belgium",2005-02-03,21-128,,,
Belgium,world_cup,12.0,Senne Lammens,GK,1.eng Manchester Utd,"Zottegem, Belgium",2002-07-07,23-339,,,
Belgium,world_cup,9.0,Romelu Lukaku,FW,1.it Napoli,"Antwerpen, Belgium",1993-05-13,33-029,,,
Belgium,world_cup,14.0,Dodi Lukebakio,"FW,MF",1.pt Benfica,"Asse, Belgium",1997-09-24,28-260,,,
Belgium,world_cup,4.0,Brandon Mechele,DF,1.be Club Brugge,"Bredene, Belgium",1993-01-28,33-134,,,
Belgium,world_cup,15.0,Thomas Meunier,"DF,MF",1.fr Lille,"Sainte-Ode, Belgium",1991-09-12,34-272,,,
Belgium,world_cup,19.0,Diego Moreira,MF,1.fr Strasbourg,"Liège, Belgium",2004-08-06,21-309,,,
Belgium,world_cup,25.0,Nathan Ngoy,DF,1.fr Lille,Belgium,2003-06-10,23-001,,,
Belgium,world_cup,24.0,Amadou Onana,MF,1.eng Aston Villa,"Brussels, Belgium",2001-08-16,24-299,,,
Belgium,world_cup,13.0,Mike Penders,GK,1.fr Strasbourg,"Maasmechelen, Belgium",2005-07-31,20-315,,,
Belgium,world_cup,23.0,Nicolas Raskin,MF,1.sct Rangers,"Liège, Belgium",2001-02-23,25-108,,,
Belgium,world_cup,22.0,Alexis Saelemaekers,MF,1.it Milan,"Sint-Agatha-Berchem, Belgium",1999-06-27,26-349,,,
Belgium,world_cup,18.0,Joaquin Seys,DF,1.be Club Brugge,"Oostende, Belgium",2005-03-28,21-075,,,
Belgium,world_cup,3.0,Arthur Theate,DF,1.de Eintracht Frankfurt,"Liège, Belgium",2000-05-25,26-017,,,
Belgium,world_cup,8.0,Youri Tielemans,MF,1.eng Aston Villa,"Sint-Pieters-Leeuw, Belgium",1997-05-07,29-035,,,
Belgium,world_cup,10.0,Leandro Trossard,"FW,MF",1.eng Arsenal,"Maasmechelen, Belgium",1994-12-04,31-189,,,
Belgium,world_cup,20.0,Hans Vanaken,MF,1.be Club Brugge,"Neerpelt, Belgium",1992-08-24,33-291,,,
Belgium,world_cup,6.0,Axel Witsel,"DF,MF",1.es Girona,"Liège, Belgium",1989-01-12,37-150,,,
Bosnia-Herzegovina,world_cup,19.0,Kerim Alajbegović,MF,1.at RB Salzburg,"Köln, Germany",2007-09-21,18-263,1.0,17.0,0.0
Bosnia-Herzegovina,world_cup,20.0,Esmir Bajraktarevic,MF,1.nl PSV,"Appleton, WI, United States",2005-03-10,21-093,1.0,73.0,0.0
Bosnia-Herzegovina,world_cup,13.0,Ivan Bašić,MF,1.kz FC Astana,Bosnia and Herzegovina,2002-04-30,24-042,1.0,61.0,0.0
Bosnia-Herzegovina,world_cup,9.0,Samed Baždar,FW,1.de Gladbach,"Novi Pazar, Serbia",2004-01-31,22-131,1.0,29.0,0.0
Bosnia-Herzegovina,world_cup,17.0,Dženis Burnić,MF,2.de Karlsruher,"Hamm, Germany",1998-05-22,28-020,1.0,7.0,0.0
Bosnia-Herzegovina,world_cup,24.0,Nidal Čelik,DF,1.fr Lens,"Sarajevo, Bosnia and Herzegovina",2006-07-17,19-329,,,
Bosnia-Herzegovina,world_cup,7.0,Amar Dedić,DF,1.pt Benfica,"Zell am See, Austria",2002-08-18,23-297,1.0,90.0,0.0
Bosnia-Herzegovina,world_cup,10.0,Ermedin Demirović,FW,1.de Stuttgart,"Hamburg, Germany",1998-03-25,28-078,1.0,90.0,0.0
Bosnia-Herzegovina,world_cup,11.0,Edin Džeko,FW,2.de Schalke 04,"Sarajevo, Bosnia and Herzegovina",1986-03-17,40-086,0.0,,
Bosnia-Herzegovina,world_cup,8.0,Armin Gigovic,MF,1.ch Young Boys,"Lund, Sweden",2002-04-06,24-066,1.0,29.0,0.0
Bosnia-Herzegovina,world_cup,16.0,Amir Hadžiahmetović,MF,2.eng Hull City,"Nexø, Denmark",1997-03-08,29-095,0.0,,
Bosnia-Herzegovina,world_cup,3.0,Dennis Hadžikadunić,DF,2.it Sampdoria,"Malmö, Sweden",1998-07-09,27-337,0.0,,
Bosnia-Herzegovina,world_cup,,Osman Hadžikić,GK,1.hr Slaven Belupo,"Klosterneuburg, Austria",1996-03-12,30-091,,,
Bosnia-Herzegovina,world_cup,12.0,Mladen Jurkas,GK,1.ba Borac Banja Luka,Bosnia and Herzegovina,2007-10-07,18-247,0.0,,
Bosnia-Herzegovina,world_cup,18.0,Nikola Katić,DF,2.de Schalke 04,"Ljubuški, Bosnia and Herzegovina",1996-10-10,29-244,1.0,90.0,0.0
Bosnia-Herzegovina,world_cup,5.0,Sead Kolašinac,DF,1.it Atalanta,"Karlsruhe, Germany",1993-06-20,32-356,1.0,83.0,0.0
Bosnia-Herzegovina,world_cup,25.0,Jovo Lukić,FW,1.ro Universitatea Cluj,"Banja Luka, Bosnia and Herzegovina",1998-11-28,27-195,1.0,61.0,1.0
Bosnia-Herzegovina,world_cup,26.0,Ermin Mahmić,MF,1.cz Slovan Liberec,"Wels Stadt, Austria",2005-03-14,21-089,0.0,,
Bosnia-Herzegovina,world_cup,15.0,Amar Memić,MF,1.cz Viktoria Plzeň,"Sarajevo, Bosnia and Herzegovina",2001-01-20,25-142,1.0,73.0,0.0
Bosnia-Herzegovina,world_cup,4.0,Tarik Muharemovic,DF,1.it Sassuolo,"Slovenia, Slovenia",2003-02-28,23-103,1.0,90.0,0.0
Bosnia-Herzegovina,world_cup,2.0,Nihad Mujakić,DF,1.tr Gaziantep FK,"Sarajevo, Bosnia and Herzegovina",1998-04-15,28-057,0.0,,
Bosnia-Herzegovina,world_cup,21.0,Stjepan Radeljić,DF,1.hr Rijeka,"Nova Bila, Bosnia and Herzegovina",1997-09-05,28-279,0.0,,
Bosnia-Herzegovina,world_cup,14.0,Ivan Šunjić,MF,1.cy Pafos FC,"Zenica, Bosnia and Herzegovina",1996-10-09,29-245,1.0,17.0,0.0
Bosnia-Herzegovina,world_cup,23.0,Haris Tabaković,FW,2.de Schalke 04,"Grenchen, Switzerland",1994-06-20,31-356,0.0,,
Bosnia-Herzegovina,world_cup,6.0,Benjamin Tahirovic,MF,1.dk Brøndby,"Spånga, Sweden",2003-03-03,23-100,1.0,90.0,0.0
Bosnia-Herzegovina,world_cup,1.0,Nikola Vasilj,GK,1.de St Pauli,"Mostar, Bosnia and Herzegovina",1995-12-02,30-191,1.0,90.0,0.0
Bosnia-Herzegovina,world_cup,22.0,Martin Zlomislić,GK,1.hr Rijeka,Bosnia and Herzegovina,1998-08-16,27-299,0.0,,
Brazil,world_cup,1.0,Alisson,GK,1.eng Liverpool,"Novo Hamburgo, Brazil",1992-10-02,33-252,1.0,90.0,0.0
Brazil,world_cup,14.0,Gleison Bremer,DF,1.it Juventus,"Itapiranga, Brazil",1997-03-18,29-085,0.0,,
Brazil,world_cup,5.0,Casemiro,MF,1.eng Manchester Utd,"São José dos Campos, Brazil",1992-02-23,34-108,1.0,45.0,0.0
Brazil,world_cup,9.0,Matheus Cunha,"FW,MF",1.eng Manchester Utd,"João Pessoa, Brazil",1999-05-27,27-015,1.0,30.0,0.0
Brazil,world_cup,13.0,Danilo,"DF,MF",1.br Flamengo,"Bicas, Brazil",1991-07-15,34-331,1.0,45.0,0.0
Brazil,world_cup,23.0,Ederson,GK,1.tr Fenerbahçe,"Osasco, Brazil",1993-08-17,32-298,0.0,,
Brazil,world_cup,2.0,Éderson,MF,1.it Atalanta,"Campo Grande, Brazil",1999-07-07,26-339,0.0,,
Brazil,world_cup,19.0,Endrick,FW,1.fr Lyon,"Taguatinga, Brazil",2006-07-21,19-325,0.0,,
Brazil,world_cup,17.0,Fabinho,"DF,MF",1.sa Al-Ittihad,"Campinas, Brazil",1993-10-23,32-231,1.0,45.0,0.0
Brazil,world_cup,8.0,Bruno Guimarães,MF,1.eng Newcastle United,"Rio de Janeiro, Brazil",1997-11-16,28-207,1.0,79.0,0.0
Brazil,world_cup,21.0,Luiz Henrique,"FW,MF",1.ru Zenit,"Petrópolis, Brazil",2001-01-02,25-160,1.0,29.0,0.0
Brazil,world_cup,24.0,Roger Ibanez,DF,1.sa Al-Ahli,"Canela, Brazil",1998-11-23,27-200,1.0,45.0,0.0
Brazil,world_cup,7.0,Vinicius Júnior,FW,1.es Real Madrid,"São Gonçalo, Brazil",2000-07-12,25-334,1.0,90.0,1.0
Brazil,world_cup,3.0,Gabriel Magalhães,DF,1.eng Arsenal,"São Paulo, Brazil",1997-12-19,28-174,1.0,90.0,0.0
Brazil,world_cup,4.0,Marquinhos,DF,1.fr Paris Saint-Germain,"São Paulo, Brazil",1994-05-14,32-028,1.0,90.0,0.0
Brazil,world_cup,22.0,Gabriel Martinelli,"FW,MF",1.eng Arsenal,"Guarulhos, Brazil",2001-06-18,24-358,0.0,,
Brazil,world_cup,10.0,Neymar,"FW,MF",1.br Santos,"Mogi das Cruzes, Brazil",1992-02-05,34-126,,,
Brazil,world_cup,20.0,Lucas Paquetá,MF,1.br Flamengo,"Rio de Janeiro, Brazil",1997-08-27,28-288,1.0,60.0,0.0
Brazil,world_cup,15.0,Léo Pereira,DF,1.br Flamengo,"Curitiba, Brazil",1996-01-31,30-131,0.0,,
Brazil,world_cup,11.0,Raphinha,MF,1.es Barcelona,"Porto Alegre, Brazil",1996-12-14,29-179,1.0,90.0,0.0
Brazil,world_cup,26.0,Rayan,MF,1.eng Bournemouth,"Rio de Janeiro, Brazil",2006-08-03,19-312,0.0,,
Brazil,world_cup,6.0,Alex Sandro,"DF,MF",1.br Flamengo,"Catanduva, Brazil",1991-01-26,35-136,0.0,,
Brazil,world_cup,18.0,Danilo Santos,MF,1.br Botafogo (RJ),"Salvador, Brazil",2001-04-29,25-043,1.0,11.0,0.0
Brazil,world_cup,16.0,Douglas Santos,DF,1.ru Zenit,"João Pessoa, Brazil",1994-03-22,32-081,1.0,90.0,0.0
Brazil,world_cup,25.0,Igor Thiago,FW,1.eng Brentford,"Brasília, Brazil",2001-06-26,24-350,1.0,61.0,0.0
Brazil,world_cup,,Wesley,"DF,MF",1.it Roma,,2003-09-06,22-278,,,
Brazil,world_cup,12.0,Wéverton,GK,1.br Grêmio,"Rio Branco, Brazil",1987-12-13,38-180,0.0,,
Canada,world_cup,20.0,Ali Ahmed,MF,2.eng Norwich City,Canada,2000-10-10,25-244,1.0,30.0,0.0
Canada,world_cup,15.0,Moïse Bombito,DF,1.fr Nice,Canada,2000-03-30,26-073,0.0,,
Canada,world_cup,17.0,Tajon Buchanan,MF,1.es Villarreal,"Brampton, ON, Canada",1999-02-08,27-123,1.0,60.0,0.0
Canada,world_cup,6.0,Mathieu Choinière,MF,1.us LAFC,Canada,1999-02-07,27-124,0.0,,
Canada,world_cup,13.0,Derek Cornelius,DF,1.fr Marseille,"Ajax, ON, Canada",1997-11-25,28-198,1.0,90.0,0.0
Canada,world_cup,16.0,Maxime Crépeau,GK,1.us Orlando City,"Greenfield Park, QC, Canada",1994-05-11,32-031,1.0,90.0,0.0
Canada,world_cup,10.0,Jonathan David,FW,1.it Juventus,"Brooklyn, NY, United States",2000-01-14,26-148,1.0,60.0,0.0
Canada,world_cup,24.0,Promise David,FW,1.be Union SG,Canada,2001-07-03,24-343,1.0,30.0,0.0
Canada,world_cup,19.0,Alphonso Davies,"DF,FW",1.de Bayern Munich,"Monrovia, Liberia",2000-11-02,25-221,0.0,,
Canada,world_cup,4.0,Luc De Fougerolles,DF,1.eng Fulham,Canada,2005-10-12,20-242,1.0,90.0,0.0
Canada,world_cup,7.0,Stephen Eustáquio,MF,1.pt Porto,"Leamington, ON, Canada",1996-12-21,29-172,1.0,89.0,0.0
Canada,world_cup,,Marcelo Flores,MF,1.mx UANL,"Estado de México, Mexico",2003-10-01,22-253,,,
Canada,world_cup,18.0,Owen Goodman,GK,3.eng Barnsley,"England, United Kingdom",2003-11-27,22-196,0.0,,
Canada,world_cup,2.0,Alistair Johnston,DF,1.sct Celtic,"Vancouver, BC, Canada",1998-10-08,27-246,1.0,90.0,0.0
Canada,world_cup,3.0,Alfie Jones,"DF,MF",2.eng Middlesbrough,"England, United Kingdom",1997-10-07,28-247,0.0,,
Canada,world_cup,8.0,Ismaël Koné,MF,1.it Sassuolo,"Abidjan, Côte d'Ivoire",2002-06-16,23-360,1.0,90.0,0.0
Canada,world_cup,9.0,Cyle Larin,"FW,MF",1.es Mallorca,"Brampton, ON, Canada",1995-04-17,31-055,1.0,15.0,1.0
Canada,world_cup,22.0,Richie Laryea,DF,1.us Toronto FC,"Toronto, ON, Canada",1995-01-07,31-155,1.0,90.0,0.0
Canada,world_cup,11.0,Liam Millar,MF,2.eng Hull City,"Toronto, ON, Canada",1999-09-27,26-257,1.0,60.0,0.0
Canada,world_cup,12.0,Tani Oluwaseyi,FW,1.es Villarreal,"Abuja, Nigeria",2000-05-15,26-027,1.0,75.0,0.0
Canada,world_cup,21.0,Jonathan Osorio,MF,1.us Toronto FC,"Toronto, ON, Canada",1992-06-12,33-364,1.0,1.0,0.0
Canada,world_cup,25.0,Nathan Saliba,MF,1.be Anderlecht,"Longueuil, QC, Canada",2004-02-07,22-124,0.0,,
Canada,world_cup,14.0,Jacob Shaffelburg,MF,1.us LAFC,Canada,1999-11-26,26-197,1.0,30.0,0.0
