Player,Pos,Country,Age,impact_score_raw,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,skill_dribbling,skill_fk_accuracy,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
Nabil Bentaleb,MF,Algeria,31.5448,0.9501871121828228,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Hicham Boudaoui,MF,Algeria,26.7146,-0.1642740659780772,75.0,82.0,11500000.0,21000.0,74.0,65.0,71.0,79.0,72.0,72.0,62.0,68.0,71.0,79.0,58.0,79.0,76.0,73.0,80.0,74.0,78.0,65.0,71.0,85.0,66.0,62.0,73.0,70.0,72.0,74.0,77.0,71.0,74.0,69.0,7.0,6.0,7.0,13.0,8.0
Adil Boulbina,FW,Algeria,23.1095,3.908301024762651,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Fares Chaïbi,"FW,MF",Algeria,23.5339,0.9955875456296226,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Samir Chergui,DF,Algeria,27.3422,1.7842290691256313,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Farés Ghedjemis,"FW,MF",Algeria,23.7611,7.484446919099783,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Amine Gouiri,"FW,MF",Algeria,26.3149,1.3457199551543462,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Anis Hadj Moussa,"FW,MF",Algeria,24.3285,2.741571455525947,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Jaouen Hadjam,DF,Algeria,23.2108,0.6267413425350128,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Riyad Mahrez,"FW,MF",Algeria,35.3012,1.7664942562013892,86.0,86.0,65500000.0,220000.0,81.0,79.0,81.0,90.0,38.0,60.0,81.0,81.0,48.0,91.0,78.0,91.0,84.0,79.0,92.0,81.0,88.0,79.0,56.0,75.0,57.0,79.0,48.0,39.0,80.0,84.0,84.0,45.0,31.0,22.0,15.0,9.0,13.0,11.0,6.0
Aïssa Mandi,DF,Algeria,34.6352,-0.5795058096082735,80.0,81.0,19500000.0,37000.0,66.0,46.0,74.0,70.0,81.0,74.0,73.0,41.0,81.0,64.0,49.0,76.0,67.0,65.0,73.0,79.0,64.0,52.0,80.0,65.0,78.0,49.0,76.0,83.0,67.0,71.0,78.0,80.0,80.0,81.0,15.0,16.0,9.0,10.0,14.0
Melvin Mastil,GK,Algeria,26.3066,3.1949009145826164,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Ibrahim Maza,MF,Algeria,20.5448,-0.3084403745675038,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Yassine Titraoui,MF,Algeria,22.8761,1.2482760685882022,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Ramiz Zerrouki,MF,Algeria,28.0438,1.2557854481058737,67.0,76.0,2300000.0,3000.0,74.0,54.0,65.0,69.0,62.0,74.0,54.0,51.0,45.0,70.0,67.0,69.0,73.0,74.0,71.0,62.0,75.0,66.0,62.0,77.0,73.0,48.0,78.0,63.0,59.0,67.0,66.0,64.0,64.0,63.0,6.0,11.0,14.0,12.0,6.0
Luca Zidane,GK,Algeria,28.0794,-0.8115476996055868,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Thiago Almada,"FW,MF",Argentina,25.1259,2.800579036549568,74.0,86.0,10000000.0,10000.0,85.0,71.0,69.0,82.0,52.0,62.0,64.0,70.0,39.0,82.0,65.0,78.0,90.0,81.0,92.0,68.0,93.0,75.0,55.0,74.0,57.0,71.0,63.0,58.0,66.0,69.0,81.0,47.0,57.0,53.0,12.0,8.0,9.0,8.0,10.0
Julián Álvarez,"FW,MF",Argentina,26.3587,1.568365455080796,75.0,85.0,12500000.0,14000.0,84.0,74.0,72.0,75.0,46.0,62.0,71.0,75.0,66.0,72.0,73.0,76.0,81.0,86.0,84.0,70.0,79.0,80.0,72.0,70.0,52.0,70.0,76.0,37.0,73.0,72.0,78.0,57.0,37.0,33.0,6.0,10.0,8.0,15.0,6.0
Leonardo Balerdi,DF,Argentina,27.3723,-1.5244735171298651,72.0,75.0,3100000.0,9000.0,66.0,70.0,68.0,73.0,35.0,67.0,68.0,72.0,58.0,77.0,45.0,75.0,65.0,66.0,66.0,67.0,55.0,74.0,61.0,66.0,72.0,64.0,56.0,33.0,73.0,74.0,65.0,32.0,31.0,36.0,11.0,8.0,13.0,8.0,8.0
Valentín Barco,"DF,MF",Argentina,21.8843,3.436760369653379,63.0,83.0,1300000.0,500.0,64.0,32.0,54.0,64.0,58.0,51.0,64.0,27.0,53.0,66.0,41.0,65.0,66.0,62.0,62.0,58.0,75.0,32.0,63.0,62.0,43.0,34.0,55.0,57.0,55.0,37.0,43.0,53.0,63.0,65.0,12.0,10.0,9.0,6.0,12.0
Rodrigo De Paul,"FW,MF",Argentina,32.0493,0.1587693374328812,82.0,83.0,35000000.0,68000.0,78.0,76.0,80.0,82.0,71.0,79.0,69.0,76.0,50.0,81.0,73.0,85.0,81.0,76.0,78.0,81.0,79.0,80.0,67.0,86.0,81.0,78.0,69.0,74.0,78.0,80.0,80.0,68.0,79.0,69.0,13.0,12.0,10.0,7.0,14.0
Enzo Fernández,MF,Argentina,25.397,1.2201449411275798,73.0,84.0,6500000.0,10000.0,72.0,60.0,73.0,73.0,70.0,74.0,66.0,54.0,52.0,72.0,67.0,74.0,71.0,73.0,75.0,73.0,73.0,69.0,63.0,79.0,69.0,61.0,82.0,70.0,67.0,74.0,78.0,70.0,76.0,74.0,8.0,6.0,7.0,8.0,10.0
Nicolás González,"FW,MF",Argentina,28.1807,1.5378545419568166,77.0,83.0,17000000.0,47000.0,87.0,71.0,64.0,82.0,45.0,60.0,66.0,79.0,80.0,84.0,42.0,83.0,85.0,88.0,81.0,75.0,78.0,69.0,79.0,62.0,55.0,54.0,67.0,39.0,79.0,68.0,75.0,38.0,46.0,39.0,10.0,6.0,9.0,5.0,8.0
Giovani Lo Celso,"FW,MF",Argentina,30.1725,0.5081754963942601,81.0,85.0,35500000.0,95000.0,75.0,76.0,82.0,83.0,69.0,73.0,79.0,75.0,60.0,83.0,79.0,85.0,76.0,75.0,83.0,82.0,80.0,82.0,57.0,76.0,70.0,75.0,82.0,70.0,76.0,83.0,80.0,64.0,75.0,68.0,10.0,7.0,10.0,15.0,14.0
Flaco López,FW,Argentina,25.512,-0.5809929847849082,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Alexis Mac Allister,MF,Argentina,27.4627,0.820247372978651,75.0,82.0,11500000.0,42000.0,70.0,76.0,77.0,74.0,56.0,62.0,79.0,77.0,61.0,74.0,81.0,77.0,73.0,68.0,71.0,70.0,72.0,74.0,64.0,68.0,63.0,80.0,51.0,45.0,73.0,77.0,72.0,65.0,54.0,51.0,7.0,10.0,14.0,15.0,10.0
Emiliano Martínez,GK,Argentina,33.7721,-0.3242725235013134,84.0,85.0,33500000.0,81000.0,74.0,61.0,64.0,70.0,60.0,71.0,22.0,16.0,26.0,13.0,20.0,35.0,59.0,57.0,49.0,80.0,49.0,62.0,60.0,40.0,70.0,16.0,37.0,13.0,12.0,66.0,60.0,11.0,20.0,20.0,85.0,83.0,82.0,83.0,85.0
Lautaro Martínez,FW,Argentina,28.8022,1.740925906310728,85.0,89.0,78000000.0,145000.0,84.0,81.0,72.0,85.0,48.0,84.0,56.0,85.0,87.0,83.0,43.0,85.0,86.0,83.0,86.0,89.0,89.0,80.0,88.0,80.0,84.0,74.0,86.0,45.0,86.0,81.0,83.0,55.0,31.0,44.0,11.0,8.0,8.0,8.0,13.0
Lisandro Martínez,"DF,MF",Argentina,28.3943,0.1804383213776909,79.0,85.0,25000000.0,16000.0,71.0,58.0,73.0,76.0,79.0,80.0,70.0,52.0,74.0,74.0,53.0,78.0,74.0,68.0,72.0,77.0,79.0,68.0,88.0,83.0,76.0,63.0,84.0,79.0,62.0,73.0,81.0,81.0,81.0,76.0,6.0,14.0,13.0,14.0,8.0
Facundo Medina,DF,Argentina,27.0383,0.1651966396333126,75.0,80.0,8000000.0,21000.0,78.0,33.0,60.0,68.0,76.0,75.0,57.0,33.0,69.0,66.0,32.0,71.0,72.0,82.0,64.0,74.0,69.0,27.0,71.0,70.0,78.0,32.0,75.0,77.0,63.0,57.0,71.0,76.0,77.0,74.0,13.0,5.0,12.0,13.0,13.0
Lionel Messi,"FW,MF",Argentina,38.9637,2.2215311289799047,93.0,93.0,78000000.0,320000.0,85.0,92.0,91.0,95.0,34.0,65.0,85.0,95.0,70.0,96.0,94.0,96.0,91.0,80.0,91.0,94.0,95.0,86.0,68.0,72.0,69.0,94.0,44.0,40.0,93.0,95.0,96.0,20.0,35.0,24.0,6.0,11.0,15.0,14.0,8.0
Nahuel Molina,"DF,MF",Argentina,28.1807,1.0224379031037731,73.0,81.0,6500000.0,11000.0,78.0,64.0,67.0,72.0,68.0,66.0,72.0,68.0,60.0,74.0,32.0,71.0,79.0,77.0,74.0,65.0,69.0,69.0,75.0,79.0,57.0,58.0,70.0,70.0,70.0,66.0,68.0,68.0,70.0,63.0,12.0,13.0,8.0,5.0,10.0
Gonzalo Montiel,DF,Argentina,29.4408,-0.1670464762933678,78.0,84.0,21000000.0,23000.0,86.0,53.0,70.0,74.0,73.0,81.0,72.0,41.0,71.0,71.0,39.0,75.0,87.0,85.0,82.0,75.0,71.0,65.0,80.0,93.0,73.0,59.0,87.0,73.0,77.0,70.0,75.0,73.0,73.0,73.0,6.0,10.0,11.0,5.0,6.0
Juan Musso,GK,Argentina,32.0986,0.8865288038348229,81.0,83.0,23500000.0,44000.0,74.0,61.0,64.0,70.0,60.0,71.0,20.0,18.0,15.0,16.0,12.0,20.0,46.0,42.0,32.0,71.0,39.0,55.0,51.0,35.0,70.0,14.0,27.0,18.0,19.0,48.0,67.0,12.0,14.0,16.0,82.0,78.0,73.0,82.0,86.0
Nicolás Otamendi,DF,Argentina,38.3258,0.6854643764646757,63.0,63.0,400000.0,3000.0,56.0,65.0,56.0,60.0,37.0,59.0,55.0,65.0,66.0,62.0,54.0,59.0,60.0,52.0,56.0,62.0,53.0,68.0,62.0,46.0,70.0,59.0,49.0,43.0,66.0,45.0,64.0,33.0,30.0,27.0,13.0,10.0,15.0,15.0,15.0
Exequiel Palacios,"DF,MF",Argentina,27.6817,1.7706754906743922,77.0,83.0,17000000.0,41000.0,55.0,73.0,74.0,77.0,72.0,71.0,67.0,70.0,59.0,76.0,47.0,80.0,74.0,39.0,78.0,69.0,79.0,81.0,70.0,83.0,63.0,76.0,78.0,72.0,67.0,78.0,78.0,73.0,76.0,74.0,10.0,5.0,8.0,9.0,6.0
Leandro Paredes,MF,Argentina,31.95,0.4729394210908038,81.0,83.0,28000000.0,81000.0,66.0,71.0,83.0,79.0,76.0,79.0,79.0,61.0,60.0,79.0,78.0,81.0,67.0,66.0,71.0,78.0,75.0,88.0,66.0,79.0,77.0,77.0,89.0,75.0,76.0,84.0,84.0,79.0,78.0,80.0,9.0,14.0,6.0,9.0,10.0
Nicolás Paz,MF,Argentina,21.7556,2.831220933243081,67.0,74.0,1900000.0,4000.0,50.0,40.0,47.0,51.0,67.0,70.0,39.0,36.0,63.0,41.0,32.0,58.0,69.0,35.0,62.0,66.0,64.0,56.0,74.0,61.0,75.0,34.0,67.0,66.0,36.0,31.0,55.0,67.0,69.0,68.0,15.0,9.0,6.0,13.0,13.0
Cristian Romero,DF,Argentina,28.1232,0.7825854100513938,82.0,87.0,41500000.0,51000.0,76.0,46.0,52.0,61.0,83.0,84.0,39.0,48.0,83.0,50.0,38.0,68.0,80.0,73.0,72.0,81.0,68.0,51.0,86.0,83.0,82.0,37.0,89.0,80.0,39.0,43.0,78.0,83.0,84.0,83.0,5.0,7.0,11.0,10.0,14.0
Gerónimo Rulli,GK,Argentina,34.0602,0.7154682155798091,80.0,80.0,14500000.0,31000.0,74.0,61.0,64.0,70.0,60.0,71.0,12.0,15.0,12.0,14.0,20.0,15.0,56.0,52.0,58.0,76.0,50.0,59.0,65.0,42.0,73.0,17.0,26.0,21.0,12.0,58.0,61.0,15.0,13.0,17.0,80.0,79.0,78.0,79.0,80.0
Giuliano Simeone,"FW,MF",Argentina,23.4791,0.6048843830533671,65.0,81.0,1800000.0,5000.0,74.0,66.0,49.0,64.0,25.0,69.0,35.0,68.0,66.0,64.0,46.0,65.0,75.0,74.0,70.0,51.0,71.0,67.0,73.0,57.0,74.0,63.0,70.0,23.0,64.0,55.0,57.0,18.0,20.0,23.0,8.0,14.0,7.0,14.0,12.0
Nicolás Tagliafico,DF,Argentina,33.7775,0.7701680465782523,82.0,82.0,27500000.0,24000.0,80.0,55.0,73.0,76.0,81.0,81.0,76.0,55.0,82.0,73.0,40.0,77.0,79.0,81.0,77.0,81.0,81.0,65.0,90.0,89.0,75.0,46.0,84.0,80.0,69.0,69.0,77.0,81.0,80.0,80.0,13.0,9.0,10.0,15.0,16.0
Patrick Beach,GK,Australia,22.846,0.1972131659281243,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Aziz Behich,"DF,MF",Australia,35.4846,-0.650935786556906,69.0,69.0,1200000.0,7000.0,77.0,62.0,64.0,70.0,65.0,68.0,69.0,61.0,54.0,70.0,55.0,66.0,80.0,74.0,84.0,63.0,87.0,72.0,75.0,72.0,60.0,59.0,80.0,65.0,61.0,50.0,64.0,64.0,69.0,66.0,14.0,11.0,11.0,14.0,15.0
Jordy Bos,DF,Australia,23.616,0.0676412388145725,52.0,69.0,190000.0,500.0,63.0,27.0,33.0,46.0,48.0,54.0,43.0,27.0,40.0,47.0,25.0,35.0,66.0,61.0,55.0,53.0,82.0,23.0,62.0,65.0,48.0,27.0,53.0,50.0,48.0,36.0,34.0,42.0,55.0,52.0,5.0,5.0,6.0,5.0,8.0
Cameron Burgess,DF,Australia,30.6379,0.3353058193293358,67.0,70.0,1200000.0,4000.0,50.0,38.0,48.0,48.0,66.0,77.0,41.0,39.0,66.0,44.0,31.0,54.0,44.0,54.0,39.0,64.0,42.0,46.0,79.0,71.0,82.0,26.0,69.0,65.0,47.0,38.0,61.0,66.0,67.0,65.0,9.0,13.0,14.0,15.0,7.0
Alessandro Circati,DF,Australia,22.668,-1.516393350123752,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Miloš Degenek,"DF,MF",Australia,32.1205,-0.135588352210017,73.0,76.0,4350000.0,14000.0,78.0,62.0,68.0,64.0,71.0,83.0,67.0,59.0,70.0,58.0,44.0,65.0,79.0,78.0,78.0,72.0,66.0,70.0,81.0,83.0,84.0,61.0,81.0,71.0,55.0,67.0,76.0,67.0,73.0,76.0,14.0,12.0,7.0,10.0,12.0
Cammy Devlin,MF,Australia,28.011,0.2675512055368054,70.0,77.0,3000000.0,4000.0,69.0,54.0,62.0,68.0,65.0,71.0,53.0,56.0,45.0,64.0,53.0,68.0,73.0,66.0,78.0,68.0,86.0,52.0,60.0,82.0,60.0,52.0,86.0,65.0,62.0,66.0,71.0,62.0,73.0,74.0,14.0,7.0,6.0,12.0,6.0
Jason Geria,DF,Australia,33.0876,0.3959804580701695,63.0,63.0,425000.0,2000.0,72.0,36.0,52.0,59.0,59.0,72.0,53.0,30.0,54.0,57.0,26.0,60.0,73.0,72.0,62.0,59.0,58.0,48.0,80.0,66.0,75.0,34.0,68.0,61.0,49.0,50.0,57.0,56.0,60.0,62.0,9.0,10.0,13.0,11.0,11.0
Lucas Herrington,DF,Australia,18.7639,-3.603237176235336,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Ajdin Hrustic,MF,Australia,29.9336,-1.054789460291249,70.0,73.0,2200000.0,13000.0,69.0,65.0,68.0,72.0,57.0,67.0,68.0,63.0,51.0,71.0,69.0,74.0,71.0,68.0,75.0,67.0,72.0,67.0,65.0,76.0,64.0,68.0,66.0,60.0,67.0,68.0,70.0,58.0,59.0,48.0,9.0,7.0,8.0,7.0,6.0
Nestory Irankunda,MF,Australia,20.334,0.12738684955798,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Jackson Irvine,"DF,MF",Australia,33.2628,-0.3803690705488526,68.0,68.0,1200000.0,8000.0,59.0,65.0,65.0,67.0,67.0,76.0,61.0,64.0,73.0,67.0,58.0,70.0,64.0,55.0,58.0,70.0,58.0,72.0,80.0,80.0,75.0,65.0,72.0,66.0,69.0,70.0,69.0,65.0,67.0,64.0,7.0,13.0,11.0,9.0,11.0
Jacob Italiano,DF,Australia,24.8652,-1.1909688718959344,61.0,73.0,775000.0,3000.0,74.0,55.0,56.0,67.0,46.0,46.0,55.0,53.0,36.0,68.0,48.0,66.0,77.0,72.0,79.0,50.0,77.0,68.0,64.0,55.0,42.0,51.0,40.0,41.0,51.0,49.0,56.0,39.0,57.0,49.0,7.0,7.0,9.0,10.0,5.0
Paul Izzo,GK,Australia,31.4271,-2.92657915581144,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Mathew Leckie,"FW,MF",Australia,35.3477,-0.695184483848728,71.0,71.0,1800000.0,10000.0,81.0,65.0,64.0,73.0,51.0,70.0,70.0,65.0,71.0,73.0,36.0,72.0,80.0,82.0,74.0,69.0,79.0,70.0,76.0,68.0,72.0,60.0,67.0,50.0,70.0,65.0,67.0,51.0,48.0,40.0,8.0,10.0,8.0,6.0,10.0
Awer Mabil,"FW,MF",Australia,30.7365,-3.58947700303773,69.0,70.0,1700000.0,13000.0,89.0,60.0,64.0,69.0,34.0,55.0,65.0,63.0,44.0,67.0,59.0,68.0,91.0,87.0,85.0,60.0,72.0,69.0,66.0,70.0,49.0,47.0,47.0,35.0,66.0,67.0,64.0,34.0,33.0,20.0,16.0,12.0,18.0,13.0,12.0
Connor Metcalfe,MF,Australia,26.5969,1.3181745920997543,66.0,75.0,1800000.0,3000.0,57.0,54.0,59.0,67.0,56.0,76.0,42.0,60.0,49.0,68.0,20.0,64.0,59.0,55.0,69.0,65.0,76.0,60.0,80.0,79.0,77.0,46.0,69.0,68.0,60.0,65.0,61.0,55.0,54.0,52.0,6.0,14.0,12.0,12.0,11.0
