Country,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5,Notes
Paraguay,3,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,W W W W L,
Paraguay,4,Paraguay,1,0,0,1,1.0,4.0,-3.0,0,W W L W L,
Qatar,1,Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Qatar,2,Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Qatar,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Qatar,4,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Qatar,1,Switzerland,1,0,1,0,1.0,1.0,0.0,1,L D W D D,
Qatar,2,Canada,1,0,1,0,1.0,1.0,0.0,1,D D W D D,
Qatar,3,Qatar,1,0,1,0,1.0,1.0,0.0,1,D W L D D,
Qatar,4,Bosnia-Herzegovina,1,0,1,0,1.0,1.0,0.0,1,D D D D D,
Scotland,1,sct Scotland,1,1,0,0,1.0,0.0,1.0,3,L L W W W,
Scotland,2,Morocco,1,0,1,0,1.0,1.0,0.0,1,D W W D D,
Scotland,3,Brazil,1,0,1,0,1.0,1.0,0.0,1,L W W W D,
Scotland,4,Haiti,1,0,0,1,0.0,1.0,-1.0,0,L D W L L,
South Africa,1,Mexico,1,1,0,0,2.0,0.0,2.0,3,D W W W W,
South Africa,2,Korea Republic,1,1,0,0,2.0,1.0,1.0,3,L L W W W,
South Africa,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,D D W W L,
South Africa,4,South Africa,1,0,0,1,0.0,2.0,-2.0,0,L D L D L,
Sweden,1,Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Sweden,2,Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Sweden,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Sweden,4,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Switzerland,1,Switzerland,1,0,1,0,1.0,1.0,0.0,1,L D W D D,
Switzerland,2,Canada,1,0,1,0,1.0,1.0,0.0,1,D D W D D,
Switzerland,3,Qatar,1,0,1,0,1.0,1.0,0.0,1,D W L D D,
Switzerland,4,Bosnia-Herzegovina,1,0,1,0,1.0,1.0,0.0,1,D D D D D,
Türkiye,1,Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Türkiye,2,Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Türkiye,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Türkiye,4,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Türkiye,1,United States,1,1,0,0,4.0,1.0,3.0,3,L L W L W,
Türkiye,2,Australia,1,1,0,0,2.0,0.0,2.0,3,L L L D W,
Türkiye,3,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,W W W W L,
Türkiye,4,Paraguay,1,0,0,1,1.0,4.0,-3.0,0,W W L W L,
United States,1,United States,1,1,0,0,4.0,1.0,3.0,3,L L W L W,
United States,2,Australia,1,1,0,0,2.0,0.0,2.0,3,L L L D W,
United States,3,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,W W W W L,
United States,4,Paraguay,1,0,0,1,1.0,4.0,-3.0,0,W W L W L,
Uruguay,1,Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Uruguay,2,Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Uruguay,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Uruguay,4,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
