Country,#,Player,Pos,Club,Birth Place,Birth Date,Age,League,Birth Country
Algeria,11.0,Anis Hadj Moussa,"FW,MF",Feyenoord,"France, France",2002-02-11,24.3285,1.nl,France
Algeria,13.0,Jaouen Hadjam,DF,Young Boys,"Paris, France",2003-03-26,23.2108,1.ch,France
Algeria,7.0,Riyad Mahrez,"FW,MF",Al-Ahli,"Sarcelles, France",1991-02-21,35.3012,1.sa,France
Algeria,2.0,Aïssa Mandi,DF,Lille,"Châlons-en-Champagne, France",1991-10-22,34.6352,1.fr,France
Algeria,1.0,Melvin Mastil,GK,FC Stade Nyonnais,"Thonon-les-Bains, France",2000-02-19,26.3066,2.ch,France
Algeria,22.0,Ibrahim Maza,MF,Leverkusen,"Berlin, Germany",2005-11-24,20.5448,1.de,Germany
Algeria,24.0,Yassine Titraoui,MF,Charleroi,"M’sila, Algeria",2003-07-26,22.8761,1.be,Algeria
Algeria,6.0,Ramiz Zerrouki,MF,Twente,"Amsterdam, Netherlands",1998-05-26,28.0438,1.nl,Netherlands
Algeria,23.0,Luca Zidane,GK,Granada,"Marseille, France",1998-05-13,28.0794,2.es,France
Argentina,16.0,Thiago Almada,"FW,MF",Atlético Madrid,"Argentina, Argentina",2001-04-26,25.1259,1.es,Argentina
Argentina,9.0,Julián Álvarez,"FW,MF",Atlético Madrid,"Argentina, Argentina",2000-01-31,26.3587,1.es,Argentina
Argentina,,Leonardo Balerdi,DF,Marseille,"Villa Mercedes, Argentina",1999-01-26,27.3723,1.fr,Argentina
Argentina,8.0,Valentín Barco,"DF,MF",Strasbourg,"Veinticinco de Mayo, Argentina",2004-07-23,21.8843,1.fr,Argentina
Argentina,7.0,Rodrigo De Paul,"FW,MF",Inter Miami,"Sarandí, Argentina",1994-05-24,32.0493,1.us,Argentina
Argentina,24.0,Enzo Fernández,MF,Chelsea,"Argentina, Argentina",2001-01-17,25.397,1.eng,Argentina
Argentina,15.0,Nicolás González,"FW,MF",Atlético Madrid,"Belén de Escobar, Argentina",1998-04-06,28.1807,1.es,Argentina
Argentina,11.0,Giovani Lo Celso,"FW,MF",Real Betis,"Rosario, Argentina",1996-04-09,30.1725,1.es,Argentina
Argentina,21.0,Flaco López,FW,Palmeiras,"Argentina, Argentina",2000-12-06,25.512,1.br,Argentina
Argentina,20.0,Alexis Mac Allister,MF,Liverpool,"Santa Rosa, Argentina",1998-12-24,27.4627,1.eng,Argentina
Argentina,23.0,Emiliano Martínez,GK,Aston Villa,"Mar del Plata, Argentina",1992-09-02,33.7721,1.eng,Argentina
Argentina,22.0,Lautaro Martínez,FW,Inter,"Bahía Blanca, Argentina",1997-08-22,28.8022,1.it,Argentina
Argentina,6.0,Lisandro Martínez,"DF,MF",Manchester Utd,"Gualeguay, Argentina",1998-01-18,28.3943,1.eng,Argentina
Argentina,25.0,Facundo Medina,DF,Marseille,"Fiorito, Argentina",1999-05-28,27.0383,1.fr,Argentina
Argentina,10.0,Lionel Messi,"FW,MF",Inter Miami,"Rosario, Argentina",1987-06-24,38.9637,1.us,Argentina
Argentina,26.0,Nahuel Molina,"DF,MF",Atlético Madrid,"Embalse, Argentina",1998-04-06,28.1807,1.es,Argentina
Argentina,4.0,Gonzalo Montiel,DF,River Plate,"González Catán, Argentina",1997-01-01,29.4408,1.ar,Argentina
Argentina,1.0,Juan Musso,GK,Atlético Madrid,"San Nicolás de los Arroyos, Argentina",1994-05-06,32.0986,1.es,Argentina
Argentina,19.0,Nicolás Otamendi,DF,Benfica,"Buenos Aires, Argentina",1988-02-12,38.3258,1.pt,Argentina
Argentina,14.0,Exequiel Palacios,"DF,MF",Leverkusen,"Famaillá, Argentina",1998-10-05,27.6817,1.de,Argentina
Argentina,5.0,Leandro Paredes,MF,Boca Juniors,"San Justo, Argentina",1994-06-29,31.95,1.ar,Argentina
Argentina,18.0,Nicolás Paz,MF,Como,"Santa Cruz de Tenerife, Spain",2004-09-08,21.7556,1.it,Spain
Argentina,13.0,Cristian Romero,DF,Tottenham Hotspur,"Córdoba, Argentina",1998-04-27,28.1232,1.eng,Argentina
Argentina,12.0,Gerónimo Rulli,GK,Marseille,"La Plata, Argentina",1992-05-20,34.0602,1.fr,Argentina
Argentina,17.0,Giuliano Simeone,"FW,MF",Atlético Madrid,"Argentina, Argentina",2002-12-18,23.4791,1.es,Argentina
Argentina,3.0,Nicolás Tagliafico,DF,Lyon,"Buenos Aires, Argentina",1992-08-31,33.7775,1.fr,Argentina
Australia,18.0,Patrick Beach,GK,Melb City,"Sydney, Australia",2003-08-06,22.846,1.au,Australia
Australia,16.0,Aziz Behich,"DF,MF",Melb City,"Moonee Ponds, Australia",1990-12-16,35.4846,1.au,Australia
Australia,5.0,Jordy Bos,DF,Feyenoord,"Melbourne, Australia",2002-10-29,23.616,1.nl,Australia
Australia,21.0,Cameron Burgess,DF,Swansea City,"Aberdeen, Scotland, United Kingdom",1995-10-21,30.6379,2.eng,United Kingdom
Australia,3.0,Alessandro Circati,DF,Parma,"Fidenza, Italy",2003-10-10,22.668,1.it,Italy
Australia,2.0,Miloš Degenek,"DF,MF",APOEL FC,"Knin, Croatia",1994-04-28,32.1205,1.cy,Croatia
Australia,14.0,Cammy Devlin,MF,Hearts,"Sydney, Australia",1998-06-07,28.011,1.sct,Australia
Australia,6.0,Jason Geria,DF,Albirex Niigata,"Canberra, Australia",1993-05-10,33.0876,2.jp,Australia
Australia,25.0,Lucas Herrington,DF,Colorado Rapids,"Brisbane, Australia",2007-09-05,18.7639,1.us,Australia
Australia,10.0,Ajdin Hrustic,MF,Heracles Almelo,"Melbourne, Australia",1996-07-05,29.9336,1.nl,Australia
Australia,17.0,Nestory Irankunda,MF,Watford,"Kibondo, Tanzania",2006-02-09,20.334,2.eng,Tanzania
Australia,22.0,Jackson Irvine,"DF,MF",St Pauli,"Melbourne, Australia",1993-03-07,33.2628,1.de,Australia
Australia,4.0,Jacob Italiano,DF,Grazer AK,"Perth, Australia",2001-07-30,24.8652,1.at,Australia
Australia,12.0,Paul Izzo,GK,Randers,"Adelaide, Australia",1995-01-06,31.4271,1.dk,Australia
Australia,7.0,Mathew Leckie,"FW,MF",Melb City,"Melbourne, Australia",1991-02-04,35.3477,1.au,Australia
Australia,11.0,Awer Mabil,"FW,MF",Castellón,"Kakuma, Kenya",1995-09-15,30.7365,2.es,Kenya
Australia,8.0,Connor Metcalfe,MF,St Pauli,"Newcastle, Australia",1999-11-05,26.5969,1.de,Australia
Australia,13.0,Aiden O'Neill,MF,NYCFC,"Brisbane, Australia",1998-07-04,27.9363,1.us,Australia
Australia,24.0,Paul Okon-Engstler,MF,Sydney FC,"Gent, Belgium",2005-01-24,21.3778,1.au,Belgium
Australia,1.0,Mathew Ryan,GK,Levante,"Plumpton, Australia",1992-04-08,34.1752,1.es,Australia
Australia,19.0,Harry Souttar,DF,Leicester City,"Aberdeen, Scotland, United Kingdom",1998-10-22,27.6352,2.eng,United Kingdom
Australia,9.0,Mo Touré,FW,Norwich City,"Conakry, Guinea",2004-03-26,22.2108,2.eng,Guinea
Australia,15.0,Kai Trewin,"DF,MF",NYCFC,"Batemans Bay, Australia",2001-05-18,25.0657,1.us,Australia
Australia,23.0,Nishan Velupillay,MF,Melbourne Victory,"Melbourne, Australia",2001-05-07,25.0958,1.au,Australia
Australia,20.0,Cristian Volpato,MF,Sassuolo,"Camperdown, Australia",2003-11-15,22.5695,1.it,Australia
Australia,26.0,Tete Yengi,FW,Machida Zelvia,"Adelaide, Australia",2000-11-28,25.5339,1.jp,Australia
Austria,2.0,David Affengruber,DF,Elche,"Scheibbs, Austria",2001-03-19,25.23,1.es,Austria
Austria,8.0,David Alaba,"DF,MF",Real Madrid,Austria,1992-06-24,33.9637,1.es,Austria
Austria,7.0,Marko Arnautović,"FW,MF",Red Star,Austria,1989-04-19,37.1451,1.rs,Austria
Austria,,Christoph Baumgartner,"FW,MF",RB Leipzig,"Horn, Austria",1999-08-01,26.8597,1.de,Austria
Austria,17.0,Carney Chukwuemeka,MF,Dortmund,"Eisenstadt, Austria",2003-10-20,22.6407,1.de,Austria
Austria,3.0,Kevin Danso,"DF,MF",Tottenham Hotspur,"Voitsberg, Austria",1998-09-19,27.7255,1.eng,Austria
Austria,23.0,Marco Friedl,DF,Werder Bremen,"Kirchbichl, Austria",1998-03-16,28.2382,1.de,Austria
Austria,11.0,Michael Gregoritsch,"FW,MF",Augsburg,"Graz, Austria",1994-04-18,32.1478,1.de,Austria
Austria,10.0,Florian Grillitsch,"DF,MF",Braga,"Neunkirchen, Austria",1995-08-07,30.8433,1.pt,Austria
Austria,14.0,Saša Kalajdžić,"FW,MF",LASK,Austria,1997-07-07,28.9281,1.at,Austria
Austria,20.0,Konrad Laimer,"DF,MF",Bayern Munich,Austria,1997-05-27,29.0411,1.de,Austria
Austria,15.0,Philipp Lienhart,DF,Freiburg,"Lilienfeld, Austria",1996-07-11,29.9172,1.de,Austria
Austria,16.0,Phillipp Mwene,"DF,MF",Mainz 05,Austria,1994-01-29,32.3641,1.de,Austria
Austria,13.0,Patrick Pentz,GK,Brøndby,Austria,1997-01-02,29.4381,1.dk,Austria
Austria,5.0,Stefan Posch,DF,Mainz 05,"Judenburg, Austria",1997-05-14,29.0767,1.de,Austria
Austria,22.0,Alexander Prass,"DF,MF",Hoffenheim,"Hellmonsödt, Austria",2001-05-26,25.0438,1.de,Austria
Austria,9.0,Marcel Sabitzer,"FW,MF",Dortmund,"Graz, Austria",1994-03-17,32.2355,1.de,Austria
Austria,1.0,Alexander Schlager,GK,RB Salzburg,Austria,1996-02-01,30.3559,1.at,Austria
Austria,4.0,Xaver Schlager,MF,RB Leipzig,Austria,1997-09-28,28.7009,1.de,Austria
Austria,18.0,Romano Schmid,"FW,MF",Werder Bremen,"Graz, Austria",2000-01-27,26.3696,1.de,Austria
Austria,26.0,Alessandro Schöpf,MF,RZ Pellets WAC,"Umhausen, Austria",1994-02-07,32.3395,1.at,Austria
Austria,6.0,Nicolas Seiwald,MF,RB Leipzig,"Kuchl, Austria",2001-05-04,25.104,1.de,Austria
Austria,25.0,Michael Svoboda,DF,Venezia,Austria,1998-10-15,27.6543,2.it,Austria
Austria,24.0,Paul Wanner,MF,PSV,"Dornbirn, Austria",2005-12-23,20.4654,1.nl,Austria
Austria,12.0,Florian Wiegele,GK,Viktoria Plzeň,"Graz Stadt, Austria",2001-03-21,25.2245,1.cz,Austria
Austria,21.0,Patrick Wimmer,"FW,MF",Wolfsburg,"Tulln, Austria",2001-05-30,25.0329,1.de,Austria
Belgium,21.0,Timothy Castagne,"DF,MF",Fulham,"Arlon, Belgium",1995-12-05,30.5147,1.eng,Belgium
Belgium,1.0,Thibaut Courtois,GK,Real Madrid,"Bree, Belgium",1992-05-11,34.0849,1.es,Belgium
Belgium,7.0,Kevin De Bruyne,"FW,MF",Napoli,"Gent, Belgium",1991-06-28,34.9528,1.it,Belgium
Belgium,5.0,Maxim De Cuyper,"DF,MF",Brighton,"Knokke-Heist, Belgium",2000-12-22,25.4682,1.eng,Belgium
Belgium,17.0,Charles De Ketelaere,"FW,MF",Atalanta,"Brugge, Belgium",2001-03-10,25.2546,1.it,Belgium
Belgium,16.0,Koni De Winter,DF,Milan,"Antwerpen, Belgium",2002-06-12,23.9966,1.it,Belgium
Belgium,2.0,Zeno Debast,DF,Sporting CP,"Halle, Belgium",2003-10-24,22.6297,1.pt,Belgium
Belgium,11.0,Jeremy Doku,"FW,MF",Manchester City,"Antwerpen, Belgium",2002-05-27,24.0411,1.eng,Belgium
Belgium,26.0,Matias Fernandez-Pardo,"FW,MF",Lille,"Brussels, Belgium",2005-02-03,21.3504,1.fr,Belgium
Belgium,12.0,Senne Lammens,GK,Manchester Utd,"Zottegem, Belgium",2002-07-07,23.9281,1.eng,Belgium
Belgium,9.0,Romelu Lukaku,FW,Napoli,"Antwerpen, Belgium",1993-05-13,33.0794,1.it,Belgium
Belgium,14.0,Dodi Lukebakio,"FW,MF",Benfica,"Asse, Belgium",1997-09-24,28.7118,1.pt,Belgium
Belgium,4.0,Brandon Mechele,DF,Club Brugge,"Bredene, Belgium",1993-01-28,33.3669,1.be,Belgium
Belgium,15.0,Thomas Meunier,"DF,MF",Lille,"Sainte-Ode, Belgium",1991-09-12,34.7447,1.fr,Belgium
Belgium,19.0,Diego Moreira,MF,Strasbourg,"Liège, Belgium",2004-08-06,21.846,1.fr,Belgium
Belgium,25.0,Nathan Ngoy,DF,Lille,Belgium,2003-06-10,23.0027,1.fr,Belgium
Belgium,24.0,Amadou Onana,MF,Aston Villa,"Brussels, Belgium",2001-08-16,24.8186,1.eng,Belgium
Belgium,13.0,Mike Penders,GK,Strasbourg,"Maasmechelen, Belgium",2005-07-31,20.8624,1.fr,Belgium
Belgium,23.0,Nicolas Raskin,MF,Rangers,"Liège, Belgium",2001-02-23,25.2957,1.sct,Belgium
Belgium,22.0,Alexis Saelemaekers,MF,Milan,"Sint-Agatha-Berchem, Belgium",1999-06-27,26.9555,1.it,Belgium
Belgium,18.0,Joaquin Seys,DF,Club Brugge,"Oostende, Belgium",2005-03-28,21.2053,1.be,Belgium
Belgium,3.0,Arthur Theate,DF,Eintracht Frankfurt,"Liège, Belgium",2000-05-25,26.0465,1.de,Belgium
Belgium,8.0,Youri Tielemans,MF,Aston Villa,"Sint-Pieters-Leeuw, Belgium",1997-05-07,29.0958,1.eng,Belgium
Belgium,10.0,Leandro Trossard,"FW,MF",Arsenal,"Maasmechelen, Belgium",1994-12-04,31.5175,1.eng,Belgium
Belgium,20.0,Hans Vanaken,MF,Club Brugge,"Neerpelt, Belgium",1992-08-24,33.7967,1.be,Belgium
Belgium,6.0,Axel Witsel,"DF,MF",Girona,"Liège, Belgium",1989-01-12,37.4107,1.es,Belgium
Bosnia-Herzegovina,19.0,Kerim Alajbegović,MF,RB Salzburg,"Köln, Germany",2007-09-21,18.7201,1.at,Germany
Bosnia-Herzegovina,20.0,Esmir Bajraktarevic,MF,PSV,"Appleton, WI, United States",2005-03-10,21.2546,1.nl,United States
Bosnia-Herzegovina,13.0,Ivan Bašić,MF,FC Astana,Bosnia and Herzegovina,2002-04-30,24.115,1.kz,Bosnia and Herzegovina
Bosnia-Herzegovina,9.0,Samed Baždar,FW,Gladbach,"Novi Pazar, Serbia",2004-01-31,22.3587,1.de,Serbia
Bosnia-Herzegovina,17.0,Dženis Burnić,MF,Karlsruher,"Hamm, Germany",1998-05-22,28.0548,2.de,Germany
Bosnia-Herzegovina,24.0,Nidal Čelik,DF,Lens,"Sarajevo, Bosnia and Herzegovina",2006-07-17,19.9008,1.fr,Bosnia and Herzegovina
Bosnia-Herzegovina,7.0,Amar Dedić,DF,Benfica,"Zell am See, Austria",2002-08-18,23.8131,1.pt,Austria
Bosnia-Herzegovina,10.0,Ermedin Demirović,FW,Stuttgart,"Hamburg, Germany",1998-03-25,28.2136,1.de,Germany
Bosnia-Herzegovina,11.0,Edin Džeko,FW,Schalke 04,"Sarajevo, Bosnia and Herzegovina",1986-03-17,40.2355,2.de,Bosnia and Herzegovina
Bosnia-Herzegovina,8.0,Armin Gigovic,MF,Young Boys,"Lund, Sweden",2002-04-06,24.1807,1.ch,Sweden
Bosnia-Herzegovina,16.0,Amir Hadžiahmetović,MF,Hull City,"Nexø, Denmark",1997-03-08,29.2601,2.eng,Denmark
Bosnia-Herzegovina,3.0,Dennis Hadžikadunić,DF,Sampdoria,"Malmö, Sweden",1998-07-09,27.9227,2.it,Sweden
Bosnia-Herzegovina,,Osman Hadžikić,GK,Slaven Belupo,"Klosterneuburg, Austria",1996-03-12,30.2491,1.hr,Austria
Bosnia-Herzegovina,12.0,Mladen Jurkas,GK,Borac Banja Luka,Bosnia and Herzegovina,2007-10-07,18.6762,1.ba,Bosnia and Herzegovina
Bosnia-Herzegovina,18.0,Nikola Katić,DF,Schalke 04,"Ljubuški, Bosnia and Herzegovina",1996-10-10,29.668,2.de,Bosnia and Herzegovina
Bosnia-Herzegovina,5.0,Sead Kolašinac,DF,Atalanta,"Karlsruhe, Germany",1993-06-20,32.9747,1.it,Germany
Bosnia-Herzegovina,25.0,Jovo Lukić,FW,Universitatea Cluj,"Banja Luka, Bosnia and Herzegovina",1998-11-28,27.5339,1.ro,Bosnia and Herzegovina
Bosnia-Herzegovina,26.0,Ermin Mahmić,MF,Slovan Liberec,"Wels Stadt, Austria",2005-03-14,21.2437,1.cz,Austria
Bosnia-Herzegovina,15.0,Amar Memić,MF,Viktoria Plzeň,"Sarajevo, Bosnia and Herzegovina",2001-01-20,25.3888,1.cz,Bosnia and Herzegovina
Bosnia-Herzegovina,4.0,Tarik Muharemovic,DF,Sassuolo,"Slovenia, Slovenia",2003-02-28,23.282,1.it,Slovenia
Bosnia-Herzegovina,2.0,Nihad Mujakić,DF,Gaziantep FK,"Sarajevo, Bosnia and Herzegovina",1998-04-15,28.1561,1.tr,Bosnia and Herzegovina
Bosnia-Herzegovina,21.0,Stjepan Radeljić,DF,Rijeka,"Nova Bila, Bosnia and Herzegovina",1997-09-05,28.7639,1.hr,Bosnia and Herzegovina
Bosnia-Herzegovina,14.0,Ivan Šunjić,MF,Pafos FC,"Zenica, Bosnia and Herzegovina",1996-10-09,29.6708,1.cy,Bosnia and Herzegovina
Bosnia-Herzegovina,23.0,Haris Tabaković,FW,Schalke 04,"Grenchen, Switzerland",1994-06-20,31.9747,2.de,Switzerland
Bosnia-Herzegovina,6.0,Benjamin Tahirovic,MF,Brøndby,"Spånga, Sweden",2003-03-03,23.2738,1.dk,Sweden
Bosnia-Herzegovina,1.0,Nikola Vasilj,GK,St Pauli,"Mostar, Bosnia and Herzegovina",1995-12-02,30.5229,1.de,Bosnia and Herzegovina
Bosnia-Herzegovina,22.0,Martin Zlomislić,GK,Rijeka,Bosnia and Herzegovina,1998-08-16,27.8186,1.hr,Bosnia and Herzegovina
Brazil,1.0,Alisson,GK,Liverpool,"Novo Hamburgo, Brazil",1992-10-02,33.6899,1.eng,Brazil
Brazil,14.0,Gleison Bremer,DF,Juventus,"Itapiranga, Brazil",1997-03-18,29.2327,1.it,Brazil
Brazil,5.0,Casemiro,MF,Manchester Utd,"São José dos Campos, Brazil",1992-02-23,34.2957,1.eng,Brazil
Brazil,9.0,Matheus Cunha,"FW,MF",Manchester Utd,"João Pessoa, Brazil",1999-05-27,27.0411,1.eng,Brazil
Brazil,13.0,Danilo,"DF,MF",Flamengo,"Bicas, Brazil",1991-07-15,34.9062,1.br,Brazil
Brazil,23.0,Ederson,GK,Fenerbahçe,"Osasco, Brazil",1993-08-17,32.8159,1.tr,Brazil
Brazil,2.0,Éderson,MF,Atalanta,"Campo Grande, Brazil",1999-07-07,26.9281,1.it,Brazil
Brazil,19.0,Endrick,FW,Lyon,"Taguatinga, Brazil",2006-07-21,19.8898,1.fr,Brazil
Brazil,17.0,Fabinho,"DF,MF",Al-Ittihad,"Campinas, Brazil",1993-10-23,32.6324,1.sa,Brazil
Brazil,8.0,Bruno Guimarães,MF,Newcastle United,"Rio de Janeiro, Brazil",1997-11-16,28.5667,1.eng,Brazil
Brazil,21.0,Luiz Henrique,"FW,MF",Zenit,"Petrópolis, Brazil",2001-01-02,25.4381,1.ru,Brazil
Brazil,24.0,Roger Ibanez,DF,Al-Ahli,"Canela, Brazil",1998-11-23,27.5476,1.sa,Brazil
Brazil,7.0,Vinicius Júnior,FW,Real Madrid,"São Gonçalo, Brazil",2000-07-12,25.9144,1.es,Brazil
Brazil,3.0,Gabriel Magalhães,DF,Arsenal,"São Paulo, Brazil",1997-12-19,28.4764,1.eng,Brazil
Brazil,4.0,Marquinhos,DF,Paris Saint-Germain,"São Paulo, Brazil",1994-05-14,32.0767,1.fr,Brazil
Brazil,22.0,Gabriel Martinelli,"FW,MF",Arsenal,"Guarulhos, Brazil",2001-06-18,24.9802,1.eng,Brazil
Brazil,10.0,Neymar,"FW,MF",Santos,"Mogi das Cruzes, Brazil",1992-02-05,34.345,1.br,Brazil
Brazil,20.0,Lucas Paquetá,MF,Flamengo,"Rio de Janeiro, Brazil",1997-08-27,28.7885,1.br,Brazil
Brazil,15.0,Léo Pereira,DF,Flamengo,"Curitiba, Brazil",1996-01-31,30.3587,1.br,Brazil
Brazil,11.0,Raphinha,MF,Barcelona,"Porto Alegre, Brazil",1996-12-14,29.4901,1.es,Brazil
Brazil,26.0,Rayan,MF,Bournemouth,"Rio de Janeiro, Brazil",2006-08-03,19.8542,1.eng,Brazil
Brazil,6.0,Alex Sandro,"DF,MF",Flamengo,"Catanduva, Brazil",1991-01-26,35.3723,1.br,Brazil
Brazil,18.0,Danilo Santos,MF,Botafogo (RJ),"Salvador, Brazil",2001-04-29,25.1177,1.br,Brazil
Brazil,16.0,Douglas Santos,DF,Zenit,"João Pessoa, Brazil",1994-03-22,32.2218,1.ru,Brazil
Brazil,25.0,Igor Thiago,FW,Brentford,"Brasília, Brazil",2001-06-26,24.9582,1.eng,Brazil
Brazil,,Wesley,"DF,MF",Roma,,2003-09-06,22.7611,1.it,
Brazil,12.0,Wéverton,GK,Grêmio,"Rio Branco, Brazil",1987-12-13,38.4928,1.br,Brazil
Canada,20.0,Ali Ahmed,MF,Norwich City,Canada,2000-10-10,25.668,2.eng,Canada
Canada,15.0,Moïse Bombito,DF,Nice,Canada,2000-03-30,26.1999,1.fr,Canada
Canada,17.0,Tajon Buchanan,MF,Villarreal,"Brampton, ON, Canada",1999-02-08,27.3368,1.es,Canada
Canada,6.0,Mathieu Choinière,MF,LAFC,Canada,1999-02-07,27.3395,1.us,Canada
Canada,13.0,Derek Cornelius,DF,Marseille,"Ajax, ON, Canada",1997-11-25,28.5421,1.fr,Canada
Canada,16.0,Maxime Crépeau,GK,Orlando City,"Greenfield Park, QC, Canada",1994-05-11,32.0849,1.us,Canada
Canada,10.0,Jonathan David,FW,Juventus,"Brooklyn, NY, United States",2000-01-14,26.4052,1.it,United States
Canada,24.0,Promise David,FW,Union SG,Canada,2001-07-03,24.9391,1.be,Canada
Canada,19.0,Alphonso Davies,"DF,FW",Bayern Munich,"Monrovia, Liberia",2000-11-02,25.6051,1.de,Liberia
Canada,4.0,Luc De Fougerolles,DF,Fulham,Canada,2005-10-12,20.6626,1.eng,Canada
Canada,7.0,Stephen Eustáquio,MF,Porto,"Leamington, ON, Canada",1996-12-21,29.4709,1.pt,Canada
Canada,,Marcelo Flores,MF,UANL,"Estado de México, Mexico",2003-10-01,22.6927,1.mx,Mexico
Canada,18.0,Owen Goodman,GK,Barnsley,"England, United Kingdom",2003-11-27,22.5366,3.eng,United Kingdom
Canada,2.0,Alistair Johnston,DF,Celtic,"Vancouver, BC, Canada",1998-10-08,27.6735,1.sct,Canada
Canada,3.0,Alfie Jones,"DF,MF",Middlesbrough,"England, United Kingdom",1997-10-07,28.6762,2.eng,United Kingdom
Canada,8.0,Ismaël Koné,MF,Sassuolo,"Abidjan, Côte d'Ivoire",2002-06-16,23.9856,1.it,Côte d'Ivoire
Canada,9.0,Cyle Larin,"FW,MF",Mallorca,"Brampton, ON, Canada",1995-04-17,31.1506,1.es,Canada
Canada,22.0,Richie Laryea,DF,Toronto FC,"Toronto, ON, Canada",1995-01-07,31.4244,1.us,Canada
Canada,11.0,Liam Millar,MF,Hull City,"Toronto, ON, Canada",1999-09-27,26.7036,2.eng,Canada
Canada,12.0,Tani Oluwaseyi,FW,Villarreal,"Abuja, Nigeria",2000-05-15,26.0739,1.es,Nigeria
Canada,21.0,Jonathan Osorio,MF,Toronto FC,"Toronto, ON, Canada",1992-06-12,33.9966,1.us,Canada
Canada,25.0,Nathan Saliba,MF,Anderlecht,"Longueuil, QC, Canada",2004-02-07,22.3395,1.be,Canada
Canada,14.0,Jacob Shaffelburg,MF,LAFC,Canada,1999-11-26,26.5394,1.us,Canada
Canada,23.0,Niko Sigur,"DF,MF",Hajduk Split,Canada,2003-09-09,22.7529,1.hr,Canada
Canada,1.0,Dayne St. Clair,GK,Inter Miami,"Pickering, ON, Canada",1997-05-09,29.0903,1.us,Canada
Canada,5.0,Joel Waterman,DF,Chicago Fire,"Langley, BC, Canada",1996-01-24,30.3778,1.us,Canada
Cape Verde,18.0,Telmo Arcanjo,MF,Vitória Guimarães,"Portugal, Portugal",2001-06-21,24.9719,1.pt,Portugal
Cape Verde,9.0,Gilson Benchimol,FW,FK Akron Tolyatti,"Praia, Cape Verde",2001-12-29,24.449,1.ru,Cape Verde
Cape Verde,7.0,Jovane Cabral,"FW,MF",Estrela,"Assomada, Cape Verde",1998-06-14,27.9911,1.pt,Cape Verde
Cape Verde,5.0,Logan Costa,DF,Villarreal,"Saint-Denis, France",2001-04-01,25.1944,1.es,France
Cape Verde,21.0,Nuno da Costa,"FW,MF",Başakşehir,"Praia, Cape Verde",1991-02-10,35.3313,1.tr,Cape Verde
Cape Verde,3.0,Diney,DF,Al Bataeh,"Tarrafal, Cape Verde",1995-01-17,31.397,1.ae,Cape Verde
Cape Verde,23.0,C.J. dos Santos,GK,San Diego FC,"Philadelphia, PA, United States",2000-08-24,25.7967,1.us,United States
Cape Verde,14.0,Deroy Duarte,MF,Ludogorets Razgrad,"Rotterdam, Netherlands",1999-07-04,26.9363,1.bg,Netherlands
Cape Verde,15.0,Laros Duarte,MF,Puskás Akadémia,"Rotterdam, Netherlands",1997-02-28,29.282,1.hu,Netherlands
Cape Verde,19.0,Dailon Livramento,FW,Casa Pia,"Rotterdam, Netherlands",2001-05-04,25.104,1.pt,Netherlands
Cape Verde,13.0,Sidny Lopes Cabral,"DF,MF",Benfica,"Rotterdam, Netherlands",2002-09-18,23.7283,1.pt,Netherlands
